STT;Mã;Tên;Lĩnh vực;Cơ quan công bố
135;1.010928.000.00.00.H24;Chấm dứt hoạt động liên kết đào tạo với nước ngoài của trường trung cấp, trung tâm giáo dục nghề nghiệp, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên và doanh nghiệp;Giáo dục nghề nghiệp;UBND Thành phố Hải Phòng
136;1.013468.H24;Chấm dứt hoạt động tàu lặn;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
137;2.002642.000.00.00.H24;Chấm dứt hoạt động tổ hợp tác;Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã;UBND Thành phố Hải Phòng
138;2.002608.000.00.00.H24;Chấm dứt hoạt động và thu hồi Giấy phép thành lập Văn phòng đại diện của tổ chức xúc tiến thương mại nước ngoài tại Việt Nam.;Xúc tiến thương mại;UBND Thành phố Hải Phòng
139;2.001953.000.00.00.H24;Chấm dứt hưởng trợ cấp thất nghiệp;Việc làm;UBND Thành phố Hải Phòng
140;1.014327.H24;Chấm dứt hưởng trợ cấp thất nghiệp (Trung tâm Dữ liệu QG);Việc làm;UBND Thành phố Hải Phòng
141;1.004944.000.00.00.H24;Chấm dứt việc chăm sóc thay thế cho trẻ em;Trẻ em;UBND Thành phố Hải Phòng
142;1.005411.H24;Chấm dứt việc hưởng hỗ trợ phí bảo hiểm nông nghiệp và hoàn phí bảo hiểm nông nghiệp;Bảo hiểm;UBND Thành phố Hải Phòng
143;1.013276.H24;Chấp thuận bổ sung vị trí nút giao đấu nối vào đường cao tốc;Đường bộ;UBND Thành phố Hải Phòng
144;1.014270.H24;Chấp thuận chuyển nhượng quyền khai thác khoáng sản (cấp Tỉnh);Địa chất và khoáng sản;UBND Thành phố Hải Phòng
145;1.014283.H24;Chấp thuận chuyển nhượng quyền khai thác tận thu khoáng sản;Địa chất và khoáng sản;UBND Thành phố Hải Phòng
146;1.014271.H24;Chấp thuận chuyển nhượng quyền thăm dò khoáng sản (cấp Tỉnh);Địa chất và khoáng sản;UBND Thành phố Hải Phòng
147;1.004691.H24;Chấp thuận chủ trương kết nối các tuyến đường sắt;Đường sắt;UBND Thành phố Hải Phòng
148;1.004883.000.00.00.H24;"Chấp thuận chủ trương xây dựng đường ngang (đối với đường sắt có tốc độ thiết kế nhỏ hơn 100 km/giờ giao nhau với đường bộ; đường sắt giao nhau với đường bộ từ cấp IV trở xuống)";Đường sắt;UBND Thành phố Hải Phòng
149;1.012885.H24;Chấp thuận chủ trương đầu tư đồng thời với chấp thuận nhà đầu tư làm chủ đầu tư đối với dự án cải tạo, xây dựng lại nhà chung cư không bằng nguồn vốn đầu tư công;Nhà ở và công sở;UBND Thành phố Hải Phòng
150;1.013987.H24;Chấp thuận các tài liệu quản lý an toàn thuộc thẩm quyền của tỉnh, thành phố trực thuộc Trung ương;Dầu khí;UBND Thành phố Hải Phòng
151;1.001666.H24;Chấp thuận cơ sở kinh doanh đào tạo thẩm tra viên an toàn giao thông đường bộ;Đường bộ;UBND Thành phố Hải Phòng
152;2.001219.000.00.00.H24;Chấp thuận hoạt động vui chơi, giải trí dưới nước tại vùng nước trên tuyến đường thủy nội địa, vùng nước cảng biển hoặc khu vực hàng hải;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
153;1.014293.H24;Chấp thuận khai thác khoáng sản tại khu vực cấm hoạt động khoáng sản, khu vực tạm thời cấm hoạt động khoáng sản đối với khoáng sản nhóm II, nhóm III và nhóm IV;Địa chất và khoáng sản;UBND Thành phố Hải Phòng
154;2.001802.000.00.00.H24;Chấp thuận khu vực, địa điểm tiếp nhận chất nạo vét trên bờ, nhận chìm ở biển;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
155;1.014289.H24;Chấp thuận khảo sát, đánh giá thông tin chung đối với khoáng sản nhóm IV tại khu vực không đấu giá quyền khai thác khoáng sản;Địa chất và khoáng sản;UBND Thành phố Hải Phòng
156;1.000949.H24;Chấp thuận nhập khẩu nguyên liệu thuốc lá để chế biến nguyên liệu thuốc lá xuất khẩu hoặc gia công chế biến nguyên liệu thuốc lá xuất khẩu;Công nghiệp tiêu dùng;UBND Thành phố Hải Phòng
157;1.000172.H24;Chấp thuận nhập khẩu nguyên liệu thuốc lá, giấy cuốn điếu thuốc lá để sản xuất sản phẩm thuốc lá xuất khẩu hoặc gia công xuất khẩu sản phẩm thuốc lá;Công nghiệp tiêu dùng;UBND Thành phố Hải Phòng
158;1.012498.H24;Chấp thuận nội dung về phương án chuyển nước;Tài nguyên nước;UBND Thành phố Hải Phòng
159;1.009465.000.00.00.H24;Chấp thuận phương án bảo đảm an toàn giao thông;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
160;1.014277.H24;Chấp thuận phương án đóng cửa mỏ khoáng sản (cấp Tỉnh);Địa chất và khoáng sản;UBND Thành phố Hải Phòng
161;1.001046.000.00.00.H24;Chấp thuận thiết kế nút giao đấu nối vào đường quốc lộ đang khai thác;Đường bộ;UBND Thành phố Hải Phòng
162;1.014292.H24;Chấp thuận thăm dò khoáng sản tại khu vực cấm hoạt động khoáng sản, khu vực tạm thời cấm hoạt động khoáng sản đối với khoáng sản nhóm II, nhóm III và nhóm IV;Địa chất và khoáng sản;UBND Thành phố Hải Phòng
163;1.013466.H24;Chấp thuận vùng hoạt động tàu lặn;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
164;1.000314.000.00.00.H24;Chấp thuận vị trí đấu nối tạm vào đường bộ đang khai thác;Đường bộ;UBND Thành phố Hải Phòng
165;2.001921.000.00.00.H24;"Chấp thuận vị trí, quy mô, kích thước, phương án tổ chức thi công biển quảng cáo, biển thông tin cổ động, tuyên truyền chính trị; chấp thuận xây dựng, lắp đặt công trình hạ tầng, công trình hạ tầng kỹ thuật sử dụng chung trong phạm vi bảo vệ kết cấu hạ tầng đường bộ; chấp thuận gia cường công trình đường bộ khi cần thiết để cho phép xe quá khổ giới hạn, xe quá tải trọng, xe bánh xích lưu hành trên đường bộ";Đường bộ;UBND Thành phố Hải Phòng
166;1.013277.H24;Chấp thuận đấu nối đối với trường hợp kết nối với đường bộ không có trong các quy hoạch;Đường bộ;UBND Thành phố Hải Phòng
167;1.000162.H24;"Chấp thuận đầu tư đổi mới thiết bị, công nghệ, đầu tư sản xuất thuốc lá xuất khẩu, gia công thuốc lá xuất khẩu, di chuyển địa điểm theo quy hoạch; đầu tư chế biến nguyên liệu thuốc lá";Công nghiệp tiêu dùng;UBND Thành phố Hải Phòng
168;2.002624.000.00.00.H24;Chấp thuận đề xuất thực hiện nạo vét đường thủy nội địa địa phương;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
169;1.003111.H24;Chỉ định cơ sở kiểm nghiệm thực phẩm phục vụ quản lý nhà nước;Quản lý chất lượng nông lâm sản và thủy sản;UBND Thành phố Hải Phòng
170;1.013857.H24;Chỉ định cơ sở kiểm nghiệm thực phẩm phục vụ quản lý nhà nước.;An toàn thực phẩm;UBND Thành phố Hải Phòng
171;1.003082.H24;Chỉ định cơ sở kiểm nghiệm thực phẩm đã được công nhận theo Tiêu chuẩn quốc gia TCVN ISO/IEC 17025: 2007 hoặc Tiêu chuẩn quốc tế ISO/IEC 17025: 2005;Quản lý chất lượng nông lâm sản và thủy sản;UBND Thành phố Hải Phòng
172;3.000466.H24;Chỉnh sửa nội dung văn bằng, chứng chỉ (tại cấp tỉnh);Văn bằng, chứng chỉ;UBND Thành phố Hải Phòng
173;3.000468.H24;Chỉnh sửa nội dung văn bằng, chứng chỉ (tại cấp xã);Văn bằng, chứng chỉ;UBND Thành phố Hải Phòng
174;1.013206.H24;Chứng nhận an toàn kỹ thuật và bảo vệ môi trường đối với xe cơ giới cải tạo, xe máy chuyên dùng cải tạo;Đăng kiểm;UBND Thành phố Hải Phòng
175;1.013101.H24;Chứng nhận kiểm định khí thải xe mô tô, xe gắn máy;Đăng kiểm;UBND Thành phố Hải Phòng
176;2.000815.000.00.00.H24;"Chứng thực bản sao từ bản chính giấy tờ, văn bản do cơ quan, tổ chức có thẩm quyền của Việt Nam; cơ quan, tổ chức có thẩm quyền của nước ngoài; cơ quan, tổ chức có thẩm quyền của Việt Nam liên kết với cơ quan, tổ chức có thẩm quyền của nước ngoài cấp hoặc chứng nhận";Chứng thực;UBND Thành phố Hải Phòng
177;2.001008.000.00.00.H24;Chứng thực chữ ký người dịch mà người dịch không phải là cộng tác viên dịch thuật của Ủy ban nhân dân cấp xã, tổ chức hành nghề công chứng;Chứng thực;UBND Thành phố Hải Phòng
178;2.000992.000.00.00.H24;Chứng thực chữ ký người dịch mà người dịch là cộng tác viên dịch thuật của Ủy ban nhân dân cấp xã, tổ chức hành nghề công chứng;Chứng thực;UBND Thành phố Hải Phòng
179;2.001019.000.00.00.H24;Chứng thực di chúc;Chứng thực;UBND Thành phố Hải Phòng
180;2.001035.000.00.00.H24;Chứng thực giao dịch liên quan đến tài sản là động sản, quyền sử dụng đất, nhà ở;Chứng thực;UBND Thành phố Hải Phòng
181;2.000913.000.00.00.H24;Chứng thực việc sửa đổi, bổ sung, hủy bỏ giao dịch;Chứng thực;UBND Thành phố Hải Phòng
182;2.001406.000.00.00.H24;Chứng thực văn bản phân chia di sản mà di sản là động sản, quyền sử dụng đất, nhà ở;Chứng thực;UBND Thành phố Hải Phòng
183;2.001016.000.00.00.H24;Chứng thực văn bản từ chối nhận di sản;Chứng thực;UBND Thành phố Hải Phòng
184;1.001396.H24;Cung cấp thuốc phóng xạ;Dược phẩm;UBND Thành phố Hải Phòng
185;1.014159.H24;Cung cấp thông tin quy hoạch đô thị và nông thôn;Quy  hoạch  đô thị  và  nông  thôn, kiến trúc;UBND Thành phố Hải Phòng
186;1.012789.000.00.00.H24;Cung cấp thông tin, dữ liệu đất đai.;Đất đai;UBND Thành phố Hải Phòng
187;1.011671.H24;Cung cấp thông tin, dữ liệu, sản phẩm đo đạc và bản đồ;Đo đạc, bản đồ và thông tin địa lý;UBND Thành phố Hải Phòng
188;1.010727.000.00.00.H24;Cấp giấy phép môi trường (cấp Tỉnh) ( 1.010727 );Môi trường;UBND Thành phố Hải Phòng
189;1.010730.000.00.00.H24;Cấp lại giấy phép môi trường (cấp Tỉnh) (1.010730);Môi trường;UBND Thành phố Hải Phòng
190;1.010729.000.00.00.H24;Cấp điều chỉnh giấy phép môi trường (cấp Tỉnh) (1.010729);Môi trường;UBND Thành phố Hải Phòng
191;1.010728.000.00.00.H24;Cấp đổi giấy phép môi trường (cấp Tỉnh) (1.010728);Môi trường;UBND Thành phố Hải Phòng
192;2.002750.H24;Công bố Danh mục khu đất dự kiến thực hiện dự án thí điểm thực hiện dự án nhà ở thương mại thông qua thỏa thuận về nhận quyền sử dụng đất hoặc đang có quyền sử dụng đất;Đất đai;UBND Thành phố Hải Phòng
193;1.009446.000.00.00.H24;Công bố chuyển bến thủy nội địa thành cảng thủy nội địa trong trường hợp bến thủy nội địa có quy mô, thông số kỹ thuật phù hợp với cấp kỹ thuật cảng thủy nội địa;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
194;1.010940.H24;Công bố cơ sở cai nghiện ma túy tự nguyện, cơ sở cai nghiện ma túy công lập đủ điều kiện cung cấp dịch vụ cai nghiện ma túy tự nguyện tại gia đình, cộng đồng;Phòng, chống tệ nạn xã hội;UBND Thành phố Hải Phòng
195;1.012256.000.00.00.H24;Công bố cơ sở khám bệnh, chữa bệnh đáp ứng yêu cầu là cơ sở hướng dẫn thực hành;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
196;1.014069.H24;Công bố cơ sở kinh doanh có tổ chức kệ thuốc.;Dược phẩm;UBND Thành phố Hải Phòng
197;1.003580.000.00.00.H24;Công bố cơ sở xét nghiệm đạt tiêu chuẩn an toàn sinh học cấp I, cấp II;Phòng bệnh;UBND Thành phố Hải Phòng
198;1.002467.000.00.00.H24;Công bố cơ sở đủ điều kiện cung cấp dịch vụ diệt côn trùng, diệt khuẩn trong lĩnh vực gia dụng và y tế bằng chế phẩm;Phòng bệnh;UBND Thành phố Hải Phòng
199;1.004062.H24;Công bố cơ sở đủ điều kiện khảo nghiệm chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế;Phòng bệnh;UBND Thành phố Hải Phòng
200;1.004070.H24;Công bố cơ sở đủ điều kiện kiểm nghiệm chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế;Phòng bệnh;UBND Thành phố Hải Phòng
201;1.002944.000.00.00.H24;Công bố cơ sở đủ điều kiện sản xuất chế phẩm diệt côn trùng, diệt khuẩn dùng trong lĩnh vực gia dụng và y tế;Phòng bệnh;UBND Thành phố Hải Phòng
202;2.000655.000.00.00.H24;Công bố cơ sở đủ điều kiện tiêm chủng;Phòng bệnh;UBND Thành phố Hải Phòng
203;1.013036.H24;Công bố cơ sở đủ điều kiện điều trị nghiện các chất dạng thuốc phiện bằng thuốc thay thế;Phòng bệnh;UBND Thành phố Hải Phòng
204;2.002603.000.00.00.H24;Công bố dự án đầu tư kinh doanh (gồm dự án đầu tư có sử dụng đất) đối với dự án không thuộc diện chấp thuận chủ trương đầu tư do nhà đầu tư đề xuất (cấp tỉnh);Đấu thầu lựa chọn nhà đầu tư;UBND Thành phố Hải Phòng
205;1.009456.000.00.00.H24;Công bố hoạt động  cảng thủy nội địa;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
206;1.009455.000.00.00.H24;Công bố hoạt động bến khách ngang sông, bến thủy nội địa phục vụ thi công công trình chính;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
