STT;Mã;Tên công ty;Sàn;Phân ngành - L1;Phân ngành - L2;Phân ngành - L3;Phân ngành - L4;Phân ngành - L5;"Vốn hóa
(tỷ VNĐ)"
183;CMT;CN mạng và Truyền thông;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;96
184;VTE;VINACAP Kim Long;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;81
185;KST;KASATI;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;73
186;VLA;PT Công nghệ Văn Lang;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;60
187;CKV;CokyVina;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;48
188;PMT;Telvina Việt Nam;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;40
189;ONE;Truyền thông Số 1;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Phần cứng;Phần cứng;39
190;VTC;Viễn thông VTC;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;38
191;VIE;CN Viễn thông VI TE CO;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;33
192;PMJ;Vật tư Bưu điện;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;32
193;SMT;SAMETEL;HNX;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Thiết bị viễn thông;Thiết bị viễn thông;31
194;TST;Dịch vụ KT Viễn Thông;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Dịch vụ Máy tính;Dịch vụ Máy tính;19
195;SRB;SARA;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Phần mềm & Dịch vụ Máy tính;Phần mềm;Phần mềm;16
196;LTC;Điện nhẹ Viễn thông;UPCoM;Công nghệ Thông tin;Công nghệ Thông tin;Thiết bị và Phần cứng;Phần cứng;Phần cứng;11
197;BSR;BSR;UPCoM;Dầu khí;Dầu khí;Sản xuất Dầu khí;Sản xuất và Khai thác dầu khí;Sản xuất và Khai thác dầu khí;66.307
198;PLX;Petrolimex;HOSE;Dầu khí;Dầu khí;Sản xuất Dầu khí;Sản xuất và Khai thác dầu khí;Sản xuất và Khai thác dầu khí;52.793
199;PVS;DVKT Dầu khí PTSC;HNX;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;18.067
200;PVD;Khoan Dầu khí PVDrilling;HOSE;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;14.258
201;OIL;PV Oil;UPCoM;Dầu khí;Dầu khí;Sản xuất Dầu khí;Sản xuất và Khai thác dầu khí;Sản xuất và Khai thác dầu khí;12.140
202;TOS;Dịch vụ biển Tân Cảng;UPCoM;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;1.814
203;PVC;Hóa chất và Dịch vụ Dầu khí;HNX;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;1.007
204;POS;Bảo dưỡng công trình DK biển;UPCoM;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;840
205;PVB;Bọc ống Dầu khí Việt Nam;HNX;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;590
206;PEQ;Thiết bị xăng dầu Petrolimex;UPCoM;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;198
207;PTV;Thương mại dầu khí;UPCoM;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;84
208;PVE;Tư vấn Dầu khí;UPCoM;Dầu khí;Dầu khí;Thiết bị, Dịch vụ và Phân phối Dầu khí;Thiết bị và Dịch vụ Dầu khí;Thiết bị và Dịch vụ Dầu khí;48
209;SSI;Chứng khoán SSI;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;52.387
210;VND;Chứng khoán VNDIRECT;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;21.769
211;HCM;Chứng khoán HSC;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;20.375
212;VCI;Chứng khoán Vietcap;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;19.819
213;VIX;Chứng khoán VIX;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;16.189
214;MBS;Chứng khoán MB;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;15.536
215;FUEVFVND;Quỹ ETF DCVFMVN DIAMOND;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;12.766
216;FTS;Chứng khoán FPT;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;12.497
217;SHS;Chứng khoán SG - HN;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;11.547
218;BSI;Chứng khoán BIDV;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;10.484
219;EVF;Tài chính Điện lực;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Tài chính cá nhân;Tài chính cá nhân;8.214
220;DSE;Chứng Khoán DNSE;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;8.151
221;E1VFVN30;Quỹ ETF DCVFMVN30;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;7.091
222;CTS;Chứng khoán Vietinbank;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;5.481
223;BCG;Bamboo Capital;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Tài chính đặc biệt;Tài chính đặc biệt;5.449
224;VDS;Chứng khoán Rồng Việt;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;4.824
225;ORS;Chứng khoán Tiên Phong;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;4.754
226;DSC;Chứng khoán DSC;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;4.660
227;AGR;Agriseco;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;3.791
228;TVS;Chứng khoán Thiên Việt;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;3.632
229;BVS;Chứng khoán Bảo Việt;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;2.874
230;APG;Chứng khoán APG;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;2.102
231;VFS;Chứng khoán Nhất Việt;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;1.800
232;FUEKIV30;KIM GROWTH VN30 ETF;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;1.727
233;PHS;Chứng khoán Phú Hưng;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;1.725
234;AAS;Chứng khoán SmartInvest;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;1.572
235;FIT;Tập đoàn F.I.T;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Tài chính đặc biệt;Tài chính đặc biệt;1.458
236;OGC;Tập đoàn Đại Dương;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Tài chính đặc biệt;Tài chính đặc biệt;1.218
237;TVC;Tập đoàn Trí Việt;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Tài chính đặc biệt;Tài chính đặc biệt;1.162
238;TVB;Chứng khoán Trí Việt;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;993
239;TCI;Chứng khoán Thành Công;HOSE;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;963
240;TIN;Tài chính Cổ phần Tín Việt;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Quản lý tài sản;Quản lý tài sản;950
241;EVS;Chứng khoán Everest;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;923
242;ABW;Chứng khoán An Bình;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;883
243;SBS;Chứng khoán Sacombank;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;733
244;IVS;Chứng khoán Guotai Junan (Việt Nam);HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;666
245;BMS;Chứng khoán Bảo Minh;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;658
246;APS;CK Châu Á - TBD;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;556
247;FUEVN100;Quỹ ETF VINACAPITAL VN100;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;520
248;CSI;Chứng khoán Kiến thiết VN;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;507
249;FUESSVFL;Quỹ ETF SSIAM VNFIN LEAD;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;464
250;FUEMAVND;Quỹ ETF MAFM VNDIAMOND;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;436
251;PSI;Chứng khoán Dầu khí;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;425
252;VUA;Chứng khoán Stanley Brothers;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;424
253;FUEMAV30;Quỹ ETF MAFM VN30;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;385
254;HAC;Chứng khoán Hải Phòng;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;357
255;FUEDCMID;Quỹ ETF DCVFMVNMIDCAP;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;356
256;FUEKIVFS;KIM GROWTH VNFINSELECT ETF;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;313
257;FUCTVGF4;Quỹ Đầu tư Tăng trưởng Thiên Việt 4;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;303
258;FUCTVGF3;Quỹ Đầu tư Tăng trưởng Thiên Việt 3;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;302
259;VIG;Chứng khoán Đầu tư Tài chính Việt Nam;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;280
260;HBS;Chứng khoán Hòa Bình;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;254
261;WSS;Chứng khoán Phố Wall;HNX;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;246
262;FUCTVGF5;Quỹ Đầu tư Tăng trưởng Thiên Việt 5;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;187
263;FUESSV30;Quỹ ETF SSIAM VN30;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;170
264;IBC;Đầu tư APAX Holdings;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Tài chính đặc biệt;Tài chính đặc biệt;141
265;FUESSV50;Quỹ ETF SSIAM VNX50;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;127
266;ART;Chứng khoán BOS;UPCoM;Tài chính;Dịch vụ tài chính;Dịch vụ tài chính;Môi giới chứng khoán;Môi giới chứng khoán;126
267;FUEKIVND;Quỹ ETF KIM GROWTH VN DIAMOND;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;104
268;FUEFCV50;Quỹ ETF FPT CAPITAL VNX50;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;67
269;FUEABVND;Quỹ ETF ABFVN DIAMOND;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;55
270;FUEBFVND;ETF BVFVN DIAMOND;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;50
271;FUEIP100;ETF IPAAM VN100;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;45
272;FUCVREIT;Quỹ Đầu tư BĐS Techcom Việt Nam;HOSE;Tài chính;Dịch vụ tài chính;Quỹ đầu tư;Quỹ đầu tư;Quỹ đầu tư;29
273;GAS;PV Gas;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Phân phối xăng dầu & khí đốt;Phân phối xăng dầu & khí đốt;166.096
274;REE;Cơ Điện Lạnh REE;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;29.674
275;POW;Điện lực Dầu khí Việt Nam;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;27.868
276;PGV;Tổng Công ty Phát điện 3;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;22.919
277;DNH;Thủy điện Đa Nhim-Hàm Thuận-Đa Mi;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;21.120
278;VSH;Thủy điện Vĩnh Sơn - Sông Hinh;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;11.883
279;BWE;Nước - Môi trường Bình Dương;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;9.831
280;BGE;BCG Energy;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;8.142
281;DTK;Vinacomin Power;HNX;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;7.988
282;HND;Nhiệt điện Hải Phòng;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;6.557
283;SBH;Thủy điện Sông Ba Hạ;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;6.435
284;QTP;Nhiệt điện Quảng Ninh;UPCoM;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;6.249
285;HNA;Thủy điện Hủa Na;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;5.716
286;TDM;Nước Thủ Dầu Một;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Nước & Khí đốt;Nước;Nước;5.511
287;NT2;Điện lực Nhơn Trạch 2;HOSE;Tiện ích Cộng đồng;Điện, nước & xăng dầu khí đốt;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;Sản xuất & Phân phối Điện;5.484
